序号,简体,繁体,康熙笔画,字义五行
943,铜,銅,14,金
944,铢,銖,14,金
945,铣,銑,14,金
946,铨,銓,14,金
947,铪,鉿,14,金
948,铫,銚,14,金
949,铬,鉻,14,金
950,铭,銘,14,金
951,铰,鉸,14,金
952,铳,銃,14,金
953,银,銀,14,金
954,铷,銣,14,金
955,阀,閥,14,金
956,限,限,14,金
957,需,需,14,金
958,韶,韶,14,金
959,骰,骰,14,金
960,齐,齊,14,金
961,么,麼,14,水
962,仆,僕,14,水
963,偾,僨,14,水
964,凤,鳳,14,水
965,华,華,14,水
966,哔,嗶,14,水
967,嘌,嘌,14,水
968,嘏,嘏,14,水
969,嫖,嫖,14,水
970,嫫,嫫,14,水
971,孵,孵,14,水
972,宾,賓,14,水
973,寞,寞,14,水
974,寡,寡,14,水
975,幔,幔,14,水
976,搏,搏,14,水
977,搬,搬,14,水
978,暝,暝,14,水
979,沟,溝,14,水
980,沧,滄,14,水
981,洼,窪,14,水
982,湿,溼,14,水
983,溏,溏,14,水
984,源,源,14,水
985,溘,溘,14,水
986,溜,溜,14,水
987,溟,溟,14,水
988,溢,溢,14,水
989,溥,溥,14,水
990,溧,溧,14,水
991,溪,溪,14,水
992,溯,溯,14,水
993,溱,溱,14,水
994,溲,溲,14,水
995,溴,溴,14,水
996,溶,溶,14,水
997,溷,溷,14,水
998,溺,溺,14,水
999,溻,溻,14,水
1000,溽,溽,14,水
1001,滁,滁,14,水
1002,滂,滂,14,水
1003,滇,滇,14,水
1004,滋,滋,14,水
1005,滏,滏,14,水
1006,滑,滑,14,水
1007,滓,滓,14,水
1008,滔,滔,14,水
1009,漓,漓,14,水
1010,熊,熊,14,水
1011,熙,熙,14,水
1012,猾,猾,14,水
1013,珲,琿,14,水
1014,瑁,瑁,14,水
1015,瑚,瑚,14,水
1016,疯,瘋,14,水
1017,痪,瘓,14,水
1018,瞀,瞀,14,水
1019,碧,碧,14,水
1020,祸,禍,14,水
1021,福,福,14,水
1022,窨,窨,14,水
1023,箔,箔,14,水
1024,绯,緋,14,水
1025,绵,綿,14,水
1026,网,網,14,水
1027,翡,翡,14,水
1028,脾,脾,14,水
1029,腐,腐,14,水
1030,腑,腑,14,水
1031,腓,腓,14,水
1032,舞,舞,14,水
1033,艋,艋,14,水
1034,荥,滎,14,水
1035,菏,菏,14,水
1036,菠,菠,14,水
1037,萍,萍,14,水
1038,蜚,蜚,14,水
1039,蜜,蜜,14,水
1040,蜞,蜞,14,水
1041,蜢,蜢,14,水
1042,蜱,蜱,14,水
1043,裨,裨,14,水
1044,裱,裱,14,水
1045,诲,誨,14,水
1046,豪,豪,14,水
1047,貌,貌,14,水
1048,踅,踅,14,水
1049,辅,輔,14,水
1050,逋,逋,14,水
1051,逢,逢,14,水
1052,郗,郗,14,水
1053,郛,郛,14,水
1054,酶,酶,14,水
1055,闻,聞,14,水
1056,闽,閩,14,水
1057,阁,閣,14,水
1058,阂,閡,14,水
1059,陌,陌,14,水
1060,颇,頗,14,水
1061,飑,颮,14,水
1062,飒,颯,14,水
1063,饱,飽,14,水
1064,饲,飼,14,水
1065,驳,駁,14,水
1066,髦,髦,14,水
1067,魂,魂,14,水
1068,鸣,鳴,14,水
1069,麽,麼,14,水
1070,鼻,鼻,14,水
1071,严,嚴,20,木
1072,喾,嚳,20,木
1073,孽,孽,20,木
1074,悬,懸,20,木
1075,攉,攉,20,木
1076,枥,櫪,20,木
1077,栊,櫳,20,木
1078,栌,櫨,20,木
1079,榇,櫬,20,木
1080,槠,櫧,20,木
1081,牺,犧,20,木
1082,献,獻,20,木
1083,琼,瓊,20,木
1084,疖,癤,20,木
1085,竞,競,20,木
1086,筹,籌,20,木
1087,篮,籃,20,木
1088,籍,籍,20,木
1089,纂,纂,20,木
1090,继,繼,20,木
1091,脐,臍,20,木
1092,舰,艦,20,木
